candidate_id	symbol	fold	start	end	total_pnl	total_trades	win_rate	sharpe_ratio	max_drawdown
ema_strict	MNQ	2	2026-03-03	2026-03-26	-132.91	5	40.0000	-2.2353	564.57
ema_strict	MNQ	3	2026-03-27	2026-04-19	227.71	8	50.0000	2.8197	342.75
ema_strict	MNQ	4	2026-04-20	2026-05-14	-252.00	5	40.0000	-5.6902	417.79
ema_strict	MES	0	2026-01-14	2026-02-06	-4.78	7	42.8571	-0.1926	105.62
ema_strict	MES	1	2026-02-07	2026-03-02	-54.78	3	33.3333	-4.9849	103.39
ema_strict	MES	2	2026-03-03	2026-03-26	342.63	10	60.0000	5.5268	329.38
ema_strict	MES	3	2026-03-27	2026-04-19	-105.80	3	33.3333	-5.2442	172.68
ema_strict	MGC	0	2026-01-14	2026-02-06	552.04	4	50.0000	4.0295	516.00
ema_strict	MES	4	2026-04-20	2026-05-14	16.25	6	50.0000	1.0341	82.50
ema_strict	MGC	1	2026-02-07	2026-03-02	103.79	3	66.6667	2.7836	195.71
ema_strict	MGC	2	2026-03-03	2026-03-26	-333.89	6	50.0000	-2.3883	1307.50
ema_strict	MGC	3	2026-03-27	2026-04-19	-390.00	2	0.0000	-1459.2464	454.50
ema_strict	MGC	4	2026-04-20	2026-05-14	-714.00	10	40.0000	-7.6556	912.50
g1_x3_ema_strict_baseline_hook	MNQ	0	2026-01-14	2026-02-06	249.66	3	66.6667	9.6221	144.00
g1_x3_ema_strict_baseline_hook	MNQ	1	2026-02-07	2026-03-02	186.50	2	100.0000	83.7383	100.00
g1_x3_ema_strict_baseline_hook	MNQ	2	2026-03-03	2026-03-26	-132.91	5	40.0000	-2.2353	564.57
g1_x3_ema_strict_baseline_hook	MNQ	3	2026-03-27	2026-04-19	227.71	8	50.0000	2.8197	342.75
g1_x3_ema_strict_baseline_hook	MNQ	4	2026-04-20	2026-05-14	-252.00	5	40.0000	-5.6902	417.79
g1_x3_ema_strict_baseline_hook	MES	0	2026-01-14	2026-02-06	-4.78	7	42.8571	-0.1926	105.62
g1_x3_ema_strict_baseline_hook	MES	1	2026-02-07	2026-03-02	-54.78	3	33.3333	-4.9849	103.39
g1_x3_ema_strict_baseline_hook	MES	2	2026-03-03	2026-03-26	342.63	10	60.0000	5.5268	329.38
g1_x3_ema_strict_baseline_hook	MES	3	2026-03-27	2026-04-19	-105.80	3	33.3333	-5.2442	172.68
g1_x3_ema_strict_baseline_hook	MGC	0	2026-01-14	2026-02-06	552.04	4	50.0000	4.0295	516.00
g1_x3_ema_strict_baseline_hook	MES	4	2026-04-20	2026-05-14	16.25	6	50.0000	1.0341	82.50
g1_x3_ema_strict_baseline_hook	MGC	1	2026-02-07	2026-03-02	103.79	3	66.6667	2.7836	195.71
g1_x3_ema_strict_baseline_hook	MGC	2	2026-03-03	2026-03-26	-333.89	6	50.0000	-2.3883	1307.50
g1_x3_ema_strict_baseline_hook	MGC	3	2026-03-27	2026-04-19	-390.00	2	0.0000	-1459.2464	454.50
g1_x3_ema_strict_baseline_hook	MGC	4	2026-04-20	2026-05-14	-714.00	10	40.0000	-7.6556	912.50
g2_m2_g1_x3_ema_strict_baseline_hook	MNQ	0	2026-01-14	2026-02-06	249.66	3	66.6667	9.6221	144.00
g2_m2_g1_x3_ema_strict_baseline_hook	MNQ	1	2026-02-07	2026-03-02	186.50	2	100.0000	83.7383	100.00
g2_m2_g1_x3_ema_strict_baseline_hook	MNQ	2	2026-03-03	2026-03-26	-132.91	5	40.0000	-2.2353	564.57
g2_m2_g1_x3_ema_strict_baseline_hook	MNQ	3	2026-03-27	2026-04-19	227.71	8	50.0000	2.8197	342.75
g2_m2_g1_x3_ema_strict_baseline_hook	MNQ	4	2026-04-20	2026-05-14	-252.00	5	40.0000	-5.6902	417.79
g2_m2_g1_x3_ema_strict_baseline_hook	MES	0	2026-01-14	2026-02-06	-4.78	7	42.8571	-0.1926	105.62
g2_m2_g1_x3_ema_strict_baseline_hook	MES	1	2026-02-07	2026-03-02	-54.78	3	33.3333	-4.9849	103.39
g2_m2_g1_x3_ema_strict_baseline_hook	MES	2	2026-03-03	2026-03-26	342.63	10	60.0000	5.5268	329.38
g2_m2_g1_x3_ema_strict_baseline_hook	MES	3	2026-03-27	2026-04-19	-105.80	3	33.3333	-5.2442	172.68
g2_m2_g1_x3_ema_strict_baseline_hook	MGC	0	2026-01-14	2026-02-06	552.04	4	50.0000	4.0295	516.00
g2_m2_g1_x3_ema_strict_baseline_hook	MES	4	2026-04-20	2026-05-14	16.25	6	50.0000	1.0341	82.50
g2_m2_g1_x3_ema_strict_baseline_hook	MGC	1	2026-02-07	2026-03-02	103.79	3	66.6667	2.7836	195.71
g2_m2_g1_x3_ema_strict_baseline_hook	MGC	2	2026-03-03	2026-03-26	-333.89	6	50.0000	-2.3883	1307.50
g2_m2_g1_x3_ema_strict_baseline_hook	MGC	3	2026-03-27	2026-04-19	-390.00	2	0.0000	-1459.2464	454.50
g2_m2_g1_x3_ema_strict_baseline_hook	MGC	4	2026-04-20	2026-05-14	-714.00	10	40.0000	-7.6556	912.50
g2_m5_ema_strict	MNQ	0	2026-01-14	2026-02-06	261.91	4	75.0000	8.8398	146.25
g2_m5_ema_strict	MNQ	1	2026-02-07	2026-03-02	-198.36	4	50.0000	-4.7224	358.86
g2_m5_ema_strict	MNQ	2	2026-03-03	2026-03-26	-204.16	6	33.3333	-3.1806	635.82
g2_m5_ema_strict	MNQ	3	2026-03-27	2026-04-19	295.46	11	54.5455	3.4091	258.25
g2_m5_ema_strict	MNQ	4	2026-04-20	2026-05-14	-252.00	5	40.0000	-5.6902	417.79
g2_m5_ema_strict	MES	0	2026-01-14	2026-02-06	-29.15	10	40.0000	-0.8682	96.88
g2_m5_ema_strict	MES	1	2026-02-07	2026-03-02	-277.77	7	28.5714	-11.4926	325.27
g2_m5_ema_strict	MES	2	2026-03-03	2026-03-26	429.51	11	63.6364	6.5452	329.38
g2_m5_ema_strict	MES	3	2026-03-27	2026-04-19	-61.88	7	42.8571	-2.7170	113.12
g2_m5_ema_strict	MES	4	2026-04-20	2026-05-14	-21.25	8	50.0000	-1.2994	82.50
g2_m5_ema_strict	MGC	0	2026-01-14	2026-02-06	410.04	6	50.0000	2.4315	516.00
g2_m5_ema_strict	MGC	1	2026-02-07	2026-03-02	469.29	8	75.0000	6.4926	335.00
g2_m5_ema_strict	MGC	2	2026-03-03	2026-03-26	-437.39	7	42.8571	-2.9335	1307.50
g2_m5_ema_strict	MGC	3	2026-03-27	2026-04-19	-22.86	6	50.0000	-0.3201	548.00
g2_m5_ema_strict	MGC	4	2026-04-20	2026-05-14	-779.50	11	36.3636	-7.9864	984.00
g2_m3_g1_x5_mid_32_68_ema_strict	MNQ	0	2026-01-14	2026-02-06	309.41	2	100.0000	29.2694	79.50
g2_m3_g1_x5_mid_32_68_ema_strict	MNQ	1	2026-02-07	2026-03-02	105.75	1	100.0000	0.0000	64.00
g2_m3_g1_x5_mid_32_68_ema_strict	MNQ	2	2026-03-03	2026-03-26	-180.82	3	33.3333	-4.4564	564.57
g2_m3_g1_x5_mid_32_68_ema_strict	MNQ	3	2026-03-27	2026-04-19	-52.46	3	33.3333	-1.1287	275.93
g2_m3_g1_x5_mid_32_68_ema_strict	MNQ	4	2026-04-20	2026-05-14	20.54	2	50.0000	1.7727	67.50
g2_m3_g1_x5_mid_32_68_ema_strict	MES	0	2026-01-14	2026-02-06	55.22	5	60.0000	2.7319	105.62
g2_m3_g1_x5_mid_32_68_ema_strict	MES	1	2026-02-07	2026-03-02	-103.39	2	0.0000	-112.0579	103.39
g2_m3_g1_x5_mid_32_68_ema_strict	MES	2	2026-03-03	2026-03-26	-99.38	3	33.3333	-5.0377	312.50
g2_m3_g1_x5_mid_32_68_ema_strict	MES	3	2026-03-27	2026-04-19	-81.43	2	50.0000	-4.2977	148.30
g2_m3_g1_x5_mid_32_68_ema_strict	MGC	0	2026-01-14	2026-02-06	790.04	2	50.0000	8.3266	362.00
g2_m3_g1_x5_mid_32_68_ema_strict	MES	4	2026-04-20	2026-05-14	-60.62	3	33.3333	-7.8925	84.38
g2_m3_g1_x5_mid_32_68_ema_strict	MGC	1	2026-02-07	2026-03-02	-192.21	1	0.0000	0.0000	192.21
g2_m3_g1_x5_mid_32_68_ema_strict	MGC	3	2026-03-27	2026-04-19	-196.50	1	0.0000	0.0000	261.00
g2_m3_g1_x5_mid_32_68_ema_strict	MGC	2	2026-03-03	2026-03-26	-444.71	4	50.0000	-4.3605	1084.00
g2_m3_g1_x5_mid_32_68_ema_strict	MGC	4	2026-04-20	2026-05-14	-77.86	6	50.0000	-1.4685	365.36
g2_m1_g1_x2_mid_32_68_baseline_hook	MNQ	0	2026-01-14	2026-02-06	-28.12	3	33.3333	-1.6401	144.00
